Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities
419,50,RL,60,8160,Pave,NA,Reg,Lvl,AllPub
420,20,RL,65,8450,Pave,NA,Reg,Lvl,AllPub
421,90,RM,78,7060,Pave,NA,Reg,Lvl,AllPub
422,20,RL,NA,16635,Pave,NA,IR1,Lvl,AllPub
423,20,RL,100,21750,Pave,NA,Reg,HLS,AllPub
424,60,RL,80,9200,Pave,NA,Reg,Lvl,AllPub
425,20,RL,72,9000,Pave,NA,Reg,Lvl,AllPub
426,60,RM,60,3378,Pave,Grvl,Reg,HLS,AllPub
427,80,RL,NA,12800,Pave,NA,Reg,Low,AllPub
428,20,RL,77,8593,Pave,NA,IR1,Lvl,AllPub
429,20,RL,64,6762,Pave,NA,Reg,Lvl,AllPub
430,20,RL,130,11457,Pave,NA,IR1,Lvl,AllPub
431,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub
432,50,RM,60,5586,Pave,NA,IR1,Bnk,AllPub
433,160,RM,24,1920,Pave,NA,Reg,Lvl,AllPub
434,60,RL,100,10839,Pave,NA,IR1,Lvl,AllPub
435,180,RM,21,1890,Pave,NA,Reg,Lvl,AllPub
436,60,RL,43,10667,Pave,NA,IR2,Lvl,AllPub
437,50,RM,40,4400,Pave,NA,Reg,Lvl,AllPub
438,45,RM,50,6000,Pave,NA,Reg,Lvl,AllPub
439,30,RL,40,4280,Pave,NA,Reg,Lvl,AllPub
440,50,RL,67,12354,Pave,Grvl,Reg,Lvl,AllPub
441,20,RL,105,15431,Pave,NA,Reg,Lvl,AllPub
442,90,RL,92,12108,Pave,NA,Reg,Lvl,AllPub
443,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub
444,120,RL,53,3922,Pave,NA,Reg,Lvl,AllPub
445,60,RL,70,8750,Pave,NA,Reg,Lvl,AllPub
446,20,RL,73,9855,Pave,NA,Reg,Lvl,AllPub
447,20,RL,137,16492,Pave,NA,IR1,Lvl,AllPub
448,60,RL,NA,11214,Pave,NA,IR1,Lvl,AllPub
449,50,RM,50,8600,Pave,NA,Reg,Bnk,AllPub
450,50,RM,50,6000,Pave,NA,Reg,Lvl,AllPub
451,30,RM,70,5684,Pave,NA,Reg,Lvl,AllPub
452,20,RL,62,70761,Pave,NA,IR1,Low,AllPub
453,60,RL,NA,9303,Pave,NA,IR1,Lvl,AllPub
454,60,FV,75,9000,Pave,NA,Reg,Lvl,AllPub
455,90,RL,63,9297,Pave,NA,Reg,Lvl,AllPub
456,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub
457,70,RM,34,4571,Pave,Grvl,Reg,Lvl,AllPub
458,20,RL,NA,53227,Pave,NA,IR1,Low,AllPub
459,70,RM,NA,5100,Pave,Grvl,Reg,Lvl,AllPub
460,50,RL,NA,7015,Pave,NA,IR1,Bnk,AllPub
461,60,FV,75,8004,Pave,NA,IR1,Lvl,AllPub
462,70,RL,60,7200,Pave,NA,Reg,Lvl,AllPub
463,20,RL,60,8281,Pave,NA,IR1,Lvl,AllPub
464,70,RL,74,11988,Pave,NA,IR1,HLS,AllPub
465,20,RL,60,8430,Pave,NA,Reg,HLS,AllPub
466,120,RM,NA,3072,Pave,NA,Reg,Lvl,AllPub
467,20,RL,85,10628,Pave,NA,Reg,Lvl,AllPub
468,70,RL,79,9480,Pave,NA,Reg,Lvl,AllPub
469,20,RL,98,11428,Pave,NA,IR1,Lvl,AllPub
470,60,RL,76,9291,Pave,NA,IR1,Lvl,AllPub
471,120,RL,NA,6820,Pave,NA,IR1,Lvl,AllPub
472,60,RL,92,11952,Pave,NA,Reg,Lvl,AllPub
473,180,RM,35,3675,Pave,NA,Reg,Lvl,AllPub
474,20,RL,110,14977,Pave,NA,IR1,Lvl,AllPub
475,120,RL,41,5330,Pave,NA,Reg,Lvl,AllPub
476,20,RL,80,8480,Pave,NA,Reg,Lvl,AllPub
477,20,RL,75,13125,Pave,NA,Reg,Lvl,AllPub
478,60,RL,105,13693,Pave,NA,Reg,Lvl,AllPub
479,20,RL,79,10637,Pave,NA,Reg,Lvl,AllPub
480,30,RM,50,5925,Pave,NA,Reg,Bnk,AllPub
481,20,RL,98,16033,Pave,NA,IR1,Lvl,AllPub
482,20,RL,72,11846,Pave,NA,IR1,HLS,AllPub
483,70,RM,50,2500,Pave,Pave,Reg,Lvl,AllPub
484,120,RM,32,4500,Pave,NA,Reg,Lvl,AllPub
485,20,RL,NA,7758,Pave,NA,IR1,Lvl,AllPub
486,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub
487,20,RL,79,10289,Pave,NA,Reg,Lvl,AllPub
488,20,RL,70,12243,Pave,NA,IR1,Lvl,AllPub
489,190,RL,60,10800,Pave,NA,Reg,Lvl,AllPub
490,180,RM,21,1526,Pave,NA,Reg,Lvl,AllPub
491,160,RM,NA,2665,Pave,NA,Reg,Lvl,AllPub
492,50,RL,79,9490,Pave,NA,Reg,Lvl,AllPub
493,60,RL,105,15578,Pave,NA,IR1,Lvl,AllPub
494,20,RL,70,7931,Pave,NA,Reg,Lvl,AllPub
495,30,RM,50,5784,Pave,NA,Reg,Lvl,AllPub
496,30,C (all),60,7879,Pave,NA,Reg,Lvl,AllPub
497,20,RL,NA,12692,Pave,NA,IR1,Lvl,AllPub
498,50,RL,60,9120,Pave,Pave,Reg,Lvl,AllPub
499,20,RL,65,7800,Pave,NA,Reg,Lvl,AllPub
500,20,RL,70,7535,Pave,NA,IR1,Lvl,AllPub
501,160,RM,21,1890,Pave,NA,Reg,Lvl,AllPub
502,60,FV,75,9803,Pave,NA,Reg,Lvl,AllPub
503,20,RL,70,9170,Pave,NA,Reg,Lvl,AllPub
504,20,RL,100,15602,Pave,NA,IR1,Lvl,AllPub
505,160,RL,24,2308,Pave,NA,Reg,Lvl,AllPub
506,90,RM,60,7596,Pave,Grvl,Reg,Lvl,AllPub
507,60,RL,80,9554,Pave,NA,IR1,Lvl,AllPub
508,20,FV,75,7862,Pave,NA,IR1,Lvl,AllPub
509,70,RM,60,9600,Pave,NA,Reg,Lvl,AllPub
510,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub
511,20,RL,75,14559,Pave,NA,Reg,Lvl,AllPub
512,120,RL,40,6792,Pave,NA,IR1,Lvl,AllPub
513,20,RL,70,9100,Pave,NA,Reg,Lvl,AllPub
514,20,RL,71,9187,Pave,NA,Reg,Bnk,AllPub
515,45,RL,55,10594,Pave,NA,Reg,Lvl,AllPub
516,20,RL,94,12220,Pave,NA,Reg,Lvl,AllPub
517,80,RL,NA,10448,Pave,NA,IR1,Lvl,AllPub
518,60,RL,79,10208,Pave,NA,IR1,Lvl,AllPub
519,60,RL,NA,9531,Pave,NA,IR1,Lvl,AllPub
520,70,RL,53,10918,Pave,NA,Reg,Lvl,AllPub
521,190,RL,60,10800,Pave,Grvl,Reg,Lvl,AllPub
522,20,RL,90,11988,Pave,NA,IR1,Lvl,AllPub
523,50,RM,50,5000,Pave,NA,Reg,Lvl,AllPub
524,60,RL,130,40094,Pave,NA,IR1,Bnk,AllPub
525,60,RL,95,11787,Pave,NA,IR1,Lvl,AllPub
526,20,FV,62,7500,Pave,Pave,Reg,Lvl,AllPub
527,20,RL,70,13300,Pave,NA,Reg,Lvl,AllPub
528,60,RL,67,14948,Pave,NA,IR1,Lvl,AllPub
529,30,RL,58,9098,Pave,NA,IR1,Lvl,AllPub
530,20,RL,NA,32668,Pave,NA,IR1,Lvl,AllPub
531,80,RL,85,10200,Pave,NA,Reg,Lvl,AllPub
532,70,RM,60,6155,Pave,NA,IR1,Lvl,AllPub
533,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub
534,20,RL,50,5000,Pave,NA,Reg,Low,AllPub
535,60,RL,74,9056,Pave,NA,IR1,Lvl,AllPub
536,190,RL,70,7000,Pave,NA,Reg,Lvl,AllPub
537,60,RL,57,8924,Pave,NA,IR1,Lvl,AllPub
538,20,RL,NA,12735,Pave,NA,IR1,Lvl,AllPub
539,20,RL,NA,11553,Pave,NA,IR1,Lvl,AllPub
540,20,RL,NA,11423,Pave,NA,Reg,Lvl,AllPub
541,20,RL,85,14601,Pave,NA,Reg,Lvl,AllPub
542,60,RL,NA,11000,Pave,NA,Reg,Lvl,AllPub
543,20,RL,78,10140,Pave,NA,Reg,Lvl,AllPub
544,120,RH,34,4058,Pave,NA,Reg,Lvl,AllPub
545,60,RL,58,17104,Pave,NA,IR1,Lvl,AllPub
546,50,RL,NA,13837,Pave,NA,IR1,Lvl,AllPub
547,50,RL,70,8737,Pave,NA,IR1,Bnk,AllPub
548,85,RL,54,7244,Pave,NA,Reg,Lvl,AllPub
549,20,RM,49,8235,Pave,NA,IR1,HLS,AllPub
550,60,FV,75,9375,Pave,NA,Reg,Lvl,AllPub
551,120,RL,53,4043,Pave,NA,Reg,Lvl,AllPub
552,20,RM,50,6000,Pave,NA,Reg,Lvl,AllPub
553,20,RL,87,11146,Pave,NA,IR1,Lvl,AllPub
554,20,RL,67,8777,Pave,NA,Reg,Lvl,AllPub
555,60,RL,85,10625,Pave,NA,Reg,Lvl,AllPub
556,45,RM,58,6380,Pave,NA,Reg,Lvl,AllPub
557,20,RL,69,14850,Pave,NA,IR1,Lvl,AllPub
558,50,C (all),60,11040,Pave,NA,Reg,Low,AllPub
559,60,RL,57,21872,Pave,NA,IR2,HLS,AllPub
560,120,RL,NA,3196,Pave,NA,Reg,Lvl,AllPub
561,20,RL,NA,11341,Pave,NA,IR1,Lvl,AllPub
562,20,RL,77,10010,Pave,NA,Reg,Lvl,AllPub
563,30,RL,63,13907,Pave,NA,Reg,Lvl,AllPub
564,50,RL,66,21780,Pave,NA,Reg,Lvl,AllPub
565,60,RL,NA,13346,Pave,NA,IR1,Lvl,AllPub
566,70,RL,66,6858,Pave,NA,Reg,Bnk,AllPub
567,60,RL,77,11198,Pave,NA,IR1,Lvl,AllPub
568,20,RL,70,10171,Pave,NA,IR1,Lvl,AllPub
569,50,RL,79,12327,Pave,NA,IR1,Low,AllPub
570,90,RL,NA,7032,Pave,NA,IR1,Lvl,AllPub
571,90,RL,74,13101,Pave,NA,IR1,Lvl,AllPub
572,20,RL,60,7332,Pave,NA,Reg,Lvl,AllPub
573,60,RL,83,13159,Pave,NA,IR1,HLS,AllPub
574,80,RL,76,9967,Pave,NA,IR1,Lvl,AllPub
575,80,RL,70,10500,Pave,NA,Reg,Lvl,AllPub
576,50,RL,80,8480,Pave,NA,Reg,Lvl,AllPub
577,50,RL,52,6292,Pave,NA,Reg,Lvl,AllPub
578,80,RL,96,11777,Pave,NA,IR1,Lvl,AllPub
579,160,FV,34,3604,Pave,Pave,Reg,Lvl,AllPub
580,50,RM,81,12150,Pave,Grvl,Reg,Lvl,AllPub
581,20,RL,NA,14585,Pave,NA,IR1,Lvl,AllPub
582,20,RL,98,12704,Pave,NA,Reg,Lvl,AllPub
583,90,RL,81,11841,Grvl,NA,Reg,Lvl,AllPub
584,75,RM,75,13500,Pave,NA,Reg,Lvl,AllPub
585,50,RM,51,6120,Pave,NA,Reg,Lvl,AllPub
586,20,RL,88,11443,Pave,NA,Reg,Lvl,AllPub
587,30,RL,55,10267,Pave,NA,Reg,Lvl,AllPub
588,85,RL,74,8740,Pave,NA,IR1,Lvl,AllPub
589,20,RL,65,25095,Pave,NA,IR1,Low,AllPub
590,40,RM,50,9100,Pave,NA,Reg,Lvl,AllPub
591,60,RL,64,8320,Pave,NA,Reg,Lvl,AllPub
592,60,RL,97,13478,Pave,NA,IR1,Lvl,AllPub
593,20,RL,60,6600,Pave,NA,Reg,Lvl,AllPub
594,120,RM,NA,4435,Pave,NA,Reg,Lvl,AllPub
595,20,RL,88,7990,Pave,NA,IR1,Lvl,AllPub
596,20,RL,69,11302,Pave,NA,IR1,Lvl,AllPub
597,70,RM,60,3600,Pave,Grvl,Reg,Lvl,AllPub
598,120,RL,53,3922,Pave,NA,Reg,Lvl,AllPub
599,20,RL,80,12984,Pave,NA,Reg,Bnk,AllPub
600,160,RM,24,1950,Pave,NA,Reg,Lvl,AllPub
601,60,RL,74,10927,Pave,NA,Reg,Lvl,AllPub
602,50,RM,50,9000,Pave,NA,Reg,Bnk,AllPub
603,60,RL,80,10041,Pave,NA,IR1,Lvl,AllPub
604,160,FV,30,3182,Pave,Pave,Reg,Lvl,AllPub
605,20,RL,88,12803,Pave,NA,IR1,Lvl,AllPub
606,60,RL,85,13600,Pave,NA,Reg,Lvl,AllPub
607,20,RL,82,12464,Pave,NA,IR2,Low,AllPub
608,20,RL,78,7800,Pave,NA,Reg,Bnk,AllPub
609,70,RL,78,12168,Pave,NA,Reg,HLS,AllPub
610,20,RL,61,7943,Pave,NA,Reg,Lvl,AllPub
611,60,RL,NA,11050,Pave,NA,Reg,Lvl,AllPub
612,80,RL,NA,10395,Pave,NA,IR1,Lvl,AllPub
613,60,RL,NA,11885,Pave,NA,Reg,Lvl,AllPub
614,20,RL,70,8402,Pave,NA,Reg,Lvl,AllPub
615,180,RM,21,1491,Pave,NA,Reg,Lvl,AllPub
616,85,RL,80,8800,Pave,NA,Reg,Lvl,AllPub
617,60,RL,NA,7861,Pave,NA,IR1,Lvl,AllPub
618,45,RL,59,7227,Pave,NA,Reg,HLS,AllPub
619,20,RL,90,11694,Pave,NA,Reg,Lvl,AllPub
620,60,RL,85,12244,Pave,NA,Reg,Lvl,AllPub
621,30,RL,45,8248,Pave,Grvl,Reg,Lvl,AllPub
622,60,RL,90,10800,Pave,NA,Reg,Lvl,AllPub
623,20,RL,71,7064,Pave,NA,Reg,Lvl,AllPub
624,160,FV,NA,2117,Pave,NA,Reg,Lvl,AllPub
625,60,RL,80,10400,Pave,NA,Reg,Lvl,AllPub
626,20,RL,87,10000,Pave,NA,IR1,Lvl,AllPub
627,20,RL,NA,12342,Pave,NA,IR1,Lvl,AllPub
628,80,RL,80,9600,Pave,NA,Reg,Lvl,AllPub
629,60,RL,70,11606,Pave,NA,IR1,HLS,AllPub
630,80,RL,82,9020,Pave,NA,Reg,Lvl,AllPub
631,70,RM,50,9000,Pave,Grvl,Reg,Lvl,AllPub
632,120,RL,34,4590,Pave,NA,Reg,Lvl,AllPub
633,20,RL,85,11900,Pave,NA,Reg,Lvl,AllPub
634,20,RL,80,9250,Pave,NA,Reg,Lvl,AllPub
635,90,RL,64,6979,Pave,NA,Reg,Lvl,AllPub
636,190,RH,60,10896,Pave,Pave,Reg,Bnk,AllPub
637,30,RM,51,6120,Pave,NA,Reg,Lvl,AllPub
638,190,RM,50,6000,Pave,NA,Reg,Lvl,AllPub
639,30,RL,67,8777,Pave,NA,Reg,Lvl,AllPub
640,120,RL,53,3982,Pave,NA,Reg,Lvl,AllPub
641,120,RL,62,12677,Pave,NA,IR1,Lvl,AllPub
642,60,FV,NA,7050,Pave,NA,Reg,Lvl,AllPub
643,80,RL,75,13860,Pave,NA,Reg,Lvl,AllPub
644,60,RL,80,10793,Pave,NA,Reg,Lvl,AllPub
645,20,FV,85,9187,Pave,NA,Reg,Lvl,AllPub
646,20,RL,NA,10530,Pave,NA,IR1,Lvl,AllPub
647,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub
648,20,RL,85,10452,Pave,NA,IR1,Lvl,AllPub
649,60,RL,70,7700,Pave,NA,Reg,Lvl,AllPub
650,180,RM,21,1936,Pave,NA,Reg,Lvl,AllPub
651,60,FV,65,8125,Pave,NA,Reg,Lvl,AllPub
652,70,RL,60,9084,Pave,NA,Reg,Lvl,AllPub
653,60,RL,70,8750,Pave,NA,Reg,Lvl,AllPub
654,50,RM,60,10320,Pave,Grvl,Reg,Lvl,AllPub
655,20,RL,91,10437,Pave,NA,IR1,Lvl,AllPub
656,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub
657,20,RL,72,10007,Pave,NA,IR1,Lvl,AllPub
658,70,RL,60,7200,Pave,NA,Reg,HLS,AllPub
659,50,RL,78,17503,Pave,NA,Reg,Lvl,AllPub
660,20,RL,75,9937,Pave,NA,Reg,Lvl,AllPub
661,60,RL,NA,12384,Pave,NA,Reg,Lvl,AllPub
662,60,RL,52,46589,Pave,NA,IR2,Lvl,AllPub
663,20,RL,120,13560,Pave,NA,Reg,Lvl,AllPub
664,85,RL,90,10012,Pave,NA,Reg,Lvl,AllPub
665,20,RL,49,20896,Pave,NA,IR2,Lvl,AllPub
666,60,RL,106,11194,Pave,NA,IR1,Lvl,AllPub
667,60,RL,NA,18450,Pave,NA,IR1,Lvl,AllPub
668,20,RL,65,8125,Pave,NA,Reg,Lvl,AllPub
669,20,RL,NA,14175,Pave,NA,Reg,Bnk,AllPub
670,30,RL,80,11600,Pave,NA,Reg,Lvl,AllPub
671,60,RL,64,8633,Pave,NA,Reg,Lvl,AllPub
672,70,RH,54,6629,Pave,NA,Reg,Lvl,AllPub
673,20,RL,NA,11250,Pave,NA,IR1,Lvl,AllPub
674,20,RL,110,14442,Pave,NA,Reg,Lvl,AllPub
675,20,RL,80,9200,Pave,NA,Reg,Lvl,AllPub
676,160,RL,24,2289,Pave,NA,Reg,Lvl,AllPub
677,70,RM,60,9600,Pave,Grvl,Reg,Lvl,AllPub
678,30,RL,52,9022,Pave,NA,Reg,Lvl,AllPub
679,20,RL,80,11844,Pave,NA,IR1,Lvl,AllPub
680,20,RL,NA,9945,Pave,NA,IR1,Lvl,AllPub
681,120,RL,50,8012,Pave,NA,Reg,Lvl,AllPub
682,50,RH,55,4500,Pave,Pave,IR2,Bnk,AllPub
683,120,RL,NA,2887,Pave,NA,Reg,HLS,AllPub
684,20,RL,90,11248,Pave,NA,IR1,Lvl,AllPub
685,60,RL,58,16770,Pave,NA,IR2,Lvl,AllPub
686,160,RL,NA,5062,Pave,NA,IR1,Lvl,AllPub
687,60,FV,84,10207,Pave,NA,Reg,Lvl,AllPub
688,160,FV,NA,5105,Pave,NA,IR2,Lvl,AllPub
689,20,RL,60,8089,Pave,NA,Reg,HLS,AllPub
690,120,RL,61,7577,Pave,NA,IR1,Lvl,AllPub
691,120,RM,NA,4426,Pave,NA,Reg,Lvl,AllPub
692,60,RL,104,21535,Pave,NA,IR1,Lvl,AllPub
693,60,RL,42,26178,Pave,NA,IR1,Lvl,AllPub
694,30,RL,60,5400,Pave,NA,Reg,Lvl,AllPub
695,50,RM,51,6120,Pave,NA,Reg,Lvl,AllPub
696,20,RL,54,13811,Pave,NA,IR1,Lvl,AllPub
697,30,RM,50,6000,Pave,NA,Reg,Lvl,AllPub
698,20,RL,57,6420,Pave,NA,IR1,Lvl,AllPub
699,20,RL,65,8450,Pave,NA,Reg,Lvl,AllPub
700,120,FV,59,4282,Pave,Pave,IR2,Lvl,AllPub
701,20,RL,85,14331,Pave,NA,Reg,Lvl,AllPub
702,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub
703,60,RL,82,12438,Pave,NA,IR1,Lvl,AllPub
704,190,RM,76,7630,Pave,NA,Reg,Lvl,AllPub
705,20,RL,70,8400,Pave,NA,Reg,Lvl,AllPub
706,190,RM,70,5600,Pave,NA,Reg,Lvl,AllPub
707,20,RL,NA,115149,Pave,NA,IR2,Low,AllPub
708,120,RL,48,6240,Pave,NA,Reg,Lvl,AllPub
709,60,RL,65,9018,Pave,NA,IR1,Lvl,AllPub
710,20,RL,NA,7162,Pave,NA,IR1,Lvl,AllPub
711,30,RL,56,4130,Pave,NA,IR1,Lvl,AllPub
712,50,C (all),66,8712,Pave,Pave,Reg,HLS,AllPub
713,120,RL,40,4671,Pave,NA,IR1,HLS,AllPub
714,190,RL,60,9873,Pave,NA,Reg,Lvl,AllPub
715,60,RL,NA,13517,Pave,NA,IR1,Lvl,AllPub
716,20,RL,78,10140,Pave,NA,Reg,Lvl,AllPub
717,70,RM,60,10800,Pave,Grvl,Reg,Bnk,AllPub
718,20,RL,80,10000,Pave,NA,Reg,Lvl,AllPub
719,60,RL,96,10542,Pave,NA,Reg,Lvl,AllPub
720,20,RL,69,9920,Pave,NA,IR1,Lvl,AllPub
721,120,RL,NA,6563,Pave,NA,IR1,Low,AllPub
722,120,RM,NA,4426,Pave,NA,Reg,Lvl,AllPub
723,20,RL,70,8120,Pave,NA,Reg,Lvl,AllPub
724,50,RL,60,8172,Pave,NA,Reg,Lvl,AllPub
725,20,RL,86,13286,Pave,NA,IR1,Lvl,AllPub
726,20,RL,60,6960,Pave,NA,Reg,Lvl,AllPub
727,20,RL,NA,21695,Pave,NA,IR1,Lvl,AllPub
728,20,RL,64,7314,Pave,NA,Reg,Lvl,AllPub
729,90,RL,85,11475,Pave,NA,Reg,Lvl,AllPub
730,30,RM,52,6240,Pave,Grvl,Reg,Lvl,AllPub
731,120,RL,39,5389,Pave,NA,IR1,Lvl,AllPub
732,80,RL,73,9590,Pave,NA,IR1,Lvl,AllPub
733,60,RL,75,11404,Pave,NA,IR1,Lvl,AllPub
734,20,RL,80,10000,Pave,NA,Reg,Lvl,AllPub
735,20,RL,NA,8978,Pave,NA,IR1,Lvl,AllPub
736,75,RM,60,10800,Pave,NA,Reg,Lvl,AllPub
737,90,RL,60,8544,Pave,NA,Reg,Lvl,AllPub
738,60,RL,72,10463,Pave,NA,IR1,HLS,AllPub
739,90,RL,60,10800,Pave,NA,Reg,Lvl,AllPub
740,60,RL,65,9313,Pave,NA,IR1,Lvl,AllPub
741,70,RM,60,9600,Pave,Grvl,Reg,Lvl,AllPub
742,20,RL,65,6768,Pave,NA,IR1,Lvl,AllPub
743,20,RL,65,8450,Pave,NA,Reg,Lvl,AllPub
744,80,RL,70,12886,Pave,NA,IR1,Lvl,AllPub
745,120,RL,41,5395,Pave,NA,IR1,HLS,AllPub
746,60,RL,NA,8963,Pave,NA,IR1,Lvl,AllPub
747,60,RL,NA,8795,Pave,NA,IR1,Lvl,AllPub
748,70,RM,65,11700,Pave,Pave,IR1,Lvl,AllPub
749,20,RL,59,10593,Pave,NA,IR1,Lvl,AllPub
750,50,RL,50,8405,Pave,NA,Reg,Lvl,AllPub
751,50,RM,55,8800,Pave,Grvl,Reg,Lvl,AllPub
752,60,RL,NA,7750,Pave,NA,Reg,Lvl,AllPub
753,20,RL,79,9236,Pave,NA,IR1,Lvl,AllPub
754,60,RL,80,10240,Pave,NA,Reg,Lvl,AllPub
755,20,RL,61,7930,Pave,NA,Reg,Lvl,AllPub
756,160,FV,34,3230,Pave,Pave,Reg,Lvl,AllPub
757,60,RL,68,10769,Pave,NA,IR1,Lvl,AllPub
758,60,RL,NA,11616,Pave,NA,IR1,Lvl,AllPub
759,160,FV,24,2280,Pave,Pave,Reg,Lvl,AllPub
760,60,RL,65,12257,Pave,NA,IR1,Lvl,AllPub
761,20,RL,70,9100,Pave,NA,Reg,Lvl,AllPub
762,30,RM,60,6911,Pave,NA,Reg,Lvl,AllPub
763,60,FV,72,8640,Pave,NA,Reg,Lvl,AllPub
764,60,RL,82,9430,Pave,NA,Reg,Lvl,AllPub
765,120,RL,30,9549,Pave,NA,IR1,Lvl,AllPub
766,20,RL,75,14587,Pave,NA,IR1,Lvl,AllPub
767,60,RL,80,10421,Pave,NA,Reg,Lvl,AllPub
768,50,RL,75,12508,Pave,NA,IR1,Lvl,AllPub
769,20,RL,70,9100,Pave,NA,Reg,Lvl,AllPub
770,60,RL,47,53504,Pave,NA,IR2,HLS,AllPub
771,85,RL,NA,7252,Pave,NA,IR1,Lvl,AllPub
772,20,RL,67,8877,Pave,NA,Reg,Lvl,AllPub
773,80,RL,94,7819,Pave,NA,Reg,Lvl,AllPub
774,20,RL,70,10150,Pave,NA,Reg,Lvl,AllPub
775,20,RL,110,14226,Pave,NA,Reg,Lvl,AllPub
776,120,RM,32,4500,Pave,NA,Reg,Lvl,AllPub
777,20,RL,86,11210,Pave,NA,IR1,Lvl,AllPub
778,20,RL,100,13350,Pave,NA,IR1,Lvl,AllPub
779,90,RH,60,8400,Pave,NA,Reg,Lvl,AllPub
780,90,RL,78,10530,Pave,NA,Reg,Lvl,AllPub
781,20,RL,63,7875,Pave,NA,Reg,Lvl,AllPub
782,60,RL,65,7153,Pave,NA,Reg,Lvl,AllPub
783,20,RL,67,16285,Pave,NA,IR2,Lvl,AllPub
784,85,RL,NA,9101,Pave,NA,IR1,Lvl,AllPub
785,75,RM,35,6300,Pave,Grvl,Reg,Lvl,AllPub
786,20,RL,NA,9790,Pave,NA,Reg,Lvl,AllPub
787,50,RM,60,10800,Pave,NA,Reg,Lvl,AllPub
788,60,RL,76,10142,Pave,NA,IR1,Lvl,AllPub
789,20,RM,50,6000,Pave,NA,Reg,Lvl,AllPub
790,60,RL,NA,12205,Pave,NA,IR1,Low,AllPub
791,120,RL,43,3182,Pave,NA,Reg,Lvl,AllPub
792,80,RL,NA,11333,Pave,NA,IR1,Lvl,AllPub
793,60,RL,92,9920,Pave,NA,IR1,Lvl,AllPub
794,20,RL,76,9158,Pave,NA,Reg,Lvl,AllPub
795,60,RL,NA,10832,Pave,NA,IR1,Lvl,AllPub
796,60,RL,70,8400,Pave,NA,Reg,Lvl,AllPub
797,20,RL,71,8197,Pave,NA,Reg,Lvl,AllPub
798,20,RL,57,7677,Pave,NA,Reg,Lvl,AllPub
799,60,RL,104,13518,Pave,NA,Reg,Lvl,AllPub
800,50,RL,60,7200,Pave,NA,Reg,Lvl,AllPub
801,60,RL,79,12798,Pave,NA,IR1,HLS,AllPub
802,30,RM,40,4800,Pave,NA,Reg,Lvl,AllPub
803,60,RL,63,8199,Pave,NA,Reg,Lvl,AllPub
804,60,RL,107,13891,Pave,NA,Reg,Lvl,AllPub
805,20,RL,75,9000,Pave,NA,Reg,Lvl,AllPub
806,20,RL,91,12274,Pave,NA,IR1,Lvl,AllPub
807,80,RL,75,9750,Pave,NA,Reg,Lvl,AllPub
808,70,RL,144,21384,Pave,NA,Reg,Lvl,AllPub
809,80,RL,85,13400,Pave,NA,Reg,Lvl,AllPub
810,75,RM,90,8100,Pave,NA,Reg,Lvl,AllPub
811,20,RL,78,10140,Pave,NA,Reg,Lvl,AllPub
812,120,RM,NA,4438,Pave,NA,Reg,Lvl,AllPub
813,20,C (all),66,8712,Grvl,NA,Reg,Bnk,AllPub
814,20,RL,75,9750,Pave,NA,Reg,Lvl,AllPub
815,50,RL,45,8248,Pave,Grvl,Reg,Lvl,AllPub
816,20,RL,48,12137,Pave,NA,IR2,Lvl,AllPub
817,20,RL,NA,11425,Pave,NA,IR1,Lvl,AllPub
818,20,RL,NA,13265,Pave,NA,IR1,Lvl,AllPub
819,80,RL,80,8816,Pave,NA,Reg,Lvl,AllPub
820,120,RL,44,6371,Pave,NA,IR1,Lvl,AllPub
821,60,RL,72,7226,Pave,NA,IR1,Lvl,AllPub
822,20,RM,60,6000,Pave,Pave,Reg,Bnk,AllPub
823,60,RL,NA,12394,Pave,NA,IR1,Lvl,AllPub
824,50,RL,60,9900,Pave,NA,Reg,Lvl,AllPub
825,20,FV,81,11216,Pave,NA,Reg,Lvl,AllPub
826,20,RL,114,14803,Pave,NA,Reg,Lvl,AllPub
827,45,RM,50,6130,Pave,NA,Reg,Lvl,AllPub
828,20,RL,65,8529,Pave,NA,IR1,Lvl,AllPub
829,60,RL,NA,28698,Pave,NA,IR2,Low,AllPub
830,160,FV,24,2544,Pave,Pave,Reg,Lvl,AllPub
831,20,RL,80,11900,Pave,NA,IR1,Lvl,AllPub
832,160,FV,30,3180,Pave,Pave,Reg,Lvl,AllPub
833,60,RL,44,9548,Pave,NA,IR1,Lvl,AllPub
834,20,RL,100,10004,Pave,NA,Reg,Lvl,AllPub
835,20,RL,75,7875,Pave,NA,Reg,Lvl,AllPub
836,20,RL,60,9600,Pave,NA,Reg,Lvl,AllPub
837,30,RM,90,8100,Pave,Pave,Reg,Lvl,AllPub
838,160,RM,21,1680,Pave,NA,Reg,Lvl,AllPub
